Brand,Model,Processor,RAM,Storage,GraphicsCard,ScreenSize,Price
"Lenovo,Legion 5 V47.4,AMD Ryzen 7 5800H,16 GB,2 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",615.06"
"Lenovo,Legion 5 V7.0,AMD Ryzen 7 5800H,8 GB,2 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1082.75"
"Lenovo,Legion 5 V50.5,AMD Ryzen 7 5800H,8 GB,512 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",1182.19"
"HP,Victus 15 V45.7,AMD Ryzen 5 5600H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1242.22"
"MSI,Katana GF66 V23.3,Intel Core i7-11800H,32 GB,256 GB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",628.19"
"Lenovo,Legion 5 V6.1,AMD Ryzen 7 5800H,8 GB,256 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1084.22"
"HP,Victus 15 V1.1,AMD Ryzen 5 5600H,16 GB,256 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",718.81"
"ASUS,ROG Strix G15 V49.2,AMD Ryzen 7 6800H,8 GB,1 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1341.19"
"HP,Victus 15 V12.9,AMD Ryzen 5 5600H,8 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",966.0"
"MSI,Katana GF66 V30.6,Intel Core i7-11800H,32 GB,512 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",873.25"
"ASUS,ROG Strix G15 V25.6,AMD Ryzen 7 6800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1071.94"
"ASUS,ROG Strix G15 V29.4,AMD Ryzen 7 6800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",775.69"
"HP,Victus 15 V32.9,AMD Ryzen 5 5600H,64 GB,512 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",1306.44"
"Lenovo,Legion 5 V47.7,AMD Ryzen 7 5800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",733.16"
"Acer,Nitro 5 V34.4,Intel Core i5-11400H,64 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",774.5"
"Acer,Nitro 5 V21.6,Intel Core i5-11400H,32 GB,256 GB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",875.34"
"HP,Victus 15 V4.3,AMD Ryzen 5 5600H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1016.94"
"ASUS,ROG Strix G15 V29.8,AMD Ryzen 7 6800H,32 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",974.34"
"HP,Victus 15 V48.9,AMD Ryzen 5 5600H,8 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",633.12"
"Lenovo,Legion 5 V9.9,AMD Ryzen 7 5800H,64 GB,1 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1343.72"
"MSI,Katana GF66 V37.2,Intel Core i7-11800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1189.81"
"HP,Victus 15 V3.9,AMD Ryzen 5 5600H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1403.06"
"Lenovo,Legion 5 V42.3,AMD Ryzen 7 5800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1054.16"
"Lenovo,Legion 5 V19.1,AMD Ryzen 7 5800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1155.09"
"Acer,Nitro 5 V48.5,Intel Core i5-11400H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",760.28"
"Lenovo,Legion 5 V8.3,AMD Ryzen 7 5800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1114.81"
"Lenovo,Legion 5 V37.5,AMD Ryzen 7 5800H,32 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1305.19"
"MSI,Katana GF66 V42.1,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",730.72"
"Lenovo,Legion 5 V14.0,AMD Ryzen 7 5800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1016.72"
"Lenovo,Legion 5 V2.0,AMD Ryzen 7 5800H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",636.84"
"ASUS,ROG Strix G15 V26.1,AMD Ryzen 7 6800H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",967.44"
"MSI,Katana GF66 V11.5,Intel Core i7-11800H,16 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1010.81"
"Lenovo,Legion 5 V3.7,AMD Ryzen 7 5800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",958.22"
"ASUS,ROG Strix G15 V25.9,AMD Ryzen 7 6800H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1338.81"
"HP,Victus 15 V16.4,AMD Ryzen 5 5600H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1168.31"
"MSI,Katana GF66 V18.4,Intel Core i7-11800H,64 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1381.41"
"Acer,Nitro 5 V17.7,Intel Core i5-11400H,32 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",751.69"
"ASUS,ROG Strix G15 V48.4,AMD Ryzen 7 6800H,64 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1172.47"
"ASUS,ROG Strix G15 V32.9,AMD Ryzen 7 6800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",973.12"
"Lenovo,Legion 5 V34.0,AMD Ryzen 7 5800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",980.69"
"ASUS,ROG Strix G15 V36.7,AMD Ryzen 7 6800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1118.56"
"Lenovo,Legion 5 V43.6,AMD Ryzen 7 5800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1300.53"
"Lenovo,Legion 5 V16.5,AMD Ryzen 7 5800H,8 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",757.84"
"MSI,Katana GF66 V14.5,Intel Core i7-11800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",996.97"
"ASUS,ROG Strix G15 V14.8,AMD Ryzen 7 6800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",817.5"
"HP,Victus 15 V39.5,AMD Ryzen 5 5600H,64 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1190.09"
"MSI,Katana GF66 V26.6,Intel Core i7-11800H,64 GB,1 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",953.56"
"Acer,Nitro 5 V6.5,Intel Core i5-11400H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1226.31"
"Acer,Nitro 5 V49.8,Intel Core i5-11400H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",571.81"
"Acer,Nitro 5 V35.9,Intel Core i5-11400H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1124.09"
"MSI,Katana GF66 V42.4,Intel Core i7-11800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1008.88"
"MSI,Katana GF66 V16.4,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",1392.31"
"MSI,Katana GF66 V41.0,Intel Core i7-11800H,32 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",752.09"
"Acer,Nitro 5 V32.4,Intel Core i5-11400H,8 GB,512 GB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",890.09"
"HP,Victus 15 V7.3,AMD Ryzen 5 5600H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",930.47"
"ASUS,ROG Strix G15 V45.9,AMD Ryzen 7 6800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1182.28"
"ASUS,ROG Strix G15 V42.4,AMD Ryzen 7 6800H,8 GB,256 GB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",1344.41"
"Acer,Nitro 5 V19.6,Intel Core i5-11400H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",604.38"
"Acer,Nitro 5 V44.2,Intel Core i5-11400H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",689.22"
"MSI,Katana GF66 V23.0,Intel Core i7-11800H,16 GB,1 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",870.28"
"Acer,Nitro 5 V22.1,Intel Core i5-11400H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",633.03"
"Acer,Nitro 5 V12.0,Intel Core i5-11400H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",803.97"
"HP,Victus 15 V26.4,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",1101.69"
"HP,Victus 15 V46.7,AMD Ryzen 5 5600H,16 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",582.53"
"Acer,Nitro 5 V27.3,Intel Core i5-11400H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1321.28"
"ASUS,ROG Strix G15 V32.2,AMD Ryzen 7 6800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",1180.03"
"ASUS,ROG Strix G15 V24.3,AMD Ryzen 7 6800H,64 GB,1 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",1150.25"
"HP,Victus 15 V25.0,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",841.66"
"HP,Victus 15 V43.7,AMD Ryzen 5 5600H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",695.78"
"Acer,Nitro 5 V9.3,Intel Core i5-11400H,16 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",703.88"
"ASUS,ROG Strix G15 V25.1,AMD Ryzen 7 6800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",904.09"
"Lenovo,Legion 5 V4.4,AMD Ryzen 7 5800H,8 GB,512 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1063.97"
"Lenovo,Legion 5 V12.8,AMD Ryzen 7 5800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",758.19"
"MSI,Katana GF66 V11.3,Intel Core i7-11800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",834.56"
"Acer,Nitro 5 V27.7,Intel Core i5-11400H,64 GB,512 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1251.06"
"ASUS,ROG Strix G15 V9.5,AMD Ryzen 7 6800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1090.34"
"ASUS,ROG Strix G15 V18.1,AMD Ryzen 7 6800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",606.94"
"Lenovo,Legion 5 V29.7,AMD Ryzen 7 5800H,8 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1389.59"
"HP,Victus 15 V6.9,AMD Ryzen 5 5600H,32 GB,1 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1070.94"
"Acer,Nitro 5 V36.5,Intel Core i5-11400H,32 GB,512 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1347.78"
"ASUS,ROG Strix G15 V18.3,AMD Ryzen 7 6800H,16 GB,1 TB SSD,AMD Radeon RX 6600M,""16"""" QHD"",1282.59"
"HP,Victus 15 V27.5,AMD Ryzen 5 5600H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",997.94"
"HP,Victus 15 V15.2,AMD Ryzen 5 5600H,8 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",1039.44"
"HP,Victus 15 V14.0,AMD Ryzen 5 5600H,32 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",644.06"
"HP,Victus 15 V2.3,AMD Ryzen 5 5600H,32 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",594.84"
"Acer,Nitro 5 V11.3,Intel Core i5-11400H,16 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1155.97"
"ASUS,ROG Strix G15 V34.1,AMD Ryzen 7 6800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",673.0"
"MSI,Katana GF66 V45.6,Intel Core i7-11800H,32 GB,2 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1288.09"
"Acer,Nitro 5 V1.1,Intel Core i5-11400H,16 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",820.28"
"MSI,Katana GF66 V11.9,Intel Core i7-11800H,8 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1235.19"
"Lenovo,Legion 5 V6.4,AMD Ryzen 7 5800H,32 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1390.12"
"MSI,Katana GF66 V35.2,Intel Core i7-11800H,32 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",875.66"
"Acer,Nitro 5 V43.7,Intel Core i5-11400H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",825.66"
"Acer,Nitro 5 V45.6,Intel Core i5-11400H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",807.28"
"ASUS,ROG Strix G15 V35.4,AMD Ryzen 7 6800H,16 GB,512 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",896.28"
"HP,Victus 15 V19.0,AMD Ryzen 5 5600H,64 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",667.28"
"Lenovo,Legion 5 V44.4,AMD Ryzen 7 5800H,32 GB,1 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1095.19"
"HP,Victus 15 V47.9,AMD Ryzen 5 5600H,32 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",799.38"
"Lenovo,Legion 5 V36.5,AMD Ryzen 7 5800H,16 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",616.38"
"MSI,Katana GF66 V2.5,Intel Core i7-11800H,64 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",603.34"
"HP,Victus 15 V5.3,AMD Ryzen 5 5600H,8 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",737.88"
"Acer,Nitro 5 V1.4,Intel Core i5-11400H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",910.03"
"Lenovo,Legion 5 V22.9,AMD Ryzen 7 5800H,32 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",710.94"
"Lenovo,Legion 5 V48.3,AMD Ryzen 7 5800H,32 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1276.97"
"MSI,Katana GF66 V21.9,Intel Core i7-11800H,16 GB,256 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",802.28"
"HP,Victus 15 V11.2,AMD Ryzen 5 5600H,64 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1070.06"
"MSI,Katana GF66 V20.3,Intel Core i7-11800H,32 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",588.5"
"ASUS,ROG Strix G15 V38.6,AMD Ryzen 7 6800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1398.34"
"HP,Victus 15 V11.8,AMD Ryzen 5 5600H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",585.91"
"ASUS,ROG Strix G15 V23.7,AMD Ryzen 7 6800H,64 GB,1 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1065.75"
"Lenovo,Legion 5 V9.0,AMD Ryzen 7 5800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",871.75"
"Lenovo,Legion 5 V5.9,AMD Ryzen 7 5800H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",830.84"
"ASUS,ROG Strix G15 V28.9,AMD Ryzen 7 6800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",997.28"
"Acer,Nitro 5 V17.6,Intel Core i5-11400H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",986.84"
"MSI,Katana GF66 V40.1,Intel Core i7-11800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1011.66"
"Acer,Nitro 5 V8.0,Intel Core i5-11400H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1289.34"
"Acer,Nitro 5 V45.6,Intel Core i5-11400H,8 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",716.34"
"Lenovo,Legion 5 V37.8,AMD Ryzen 7 5800H,64 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",785.81"
"HP,Victus 15 V23.4,AMD Ryzen 5 5600H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1042.34"
"ASUS,ROG Strix G15 V38.7,AMD Ryzen 7 6800H,32 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",689.47"
"HP,Victus 15 V6.0,AMD Ryzen 5 5600H,64 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",627.78"
"Acer,Nitro 5 V16.3,Intel Core i5-11400H,32 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",902.5"
"ASUS,ROG Strix G15 V8.3,AMD Ryzen 7 6800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",784.09"
"ASUS,ROG Strix G15 V9.6,AMD Ryzen 7 6800H,64 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1087.25"
"MSI,Katana GF66 V41.7,Intel Core i7-11800H,64 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",575.47"
"HP,Victus 15 V24.6,AMD Ryzen 5 5600H,64 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",576.97"
"Lenovo,Legion 5 V37.3,AMD Ryzen 7 5800H,32 GB,256 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1231.22"
"ASUS,ROG Strix G15 V42.4,AMD Ryzen 7 6800H,32 GB,1 TB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",854.16"
"Acer,Nitro 5 V2.7,Intel Core i5-11400H,32 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",999.16"
"ASUS,ROG Strix G15 V9.4,AMD Ryzen 7 6800H,8 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",908.75"
"Lenovo,Legion 5 V49.8,AMD Ryzen 7 5800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1080.06"
"Lenovo,Legion 5 V31.7,AMD Ryzen 7 5800H,64 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1008.62"
"HP,Victus 15 V4.9,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",589.88"
"ASUS,ROG Strix G15 V17.8,AMD Ryzen 7 6800H,64 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",953.38"
"MSI,Katana GF66 V45.9,Intel Core i7-11800H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",1242.31"
"ASUS,ROG Strix G15 V7.3,AMD Ryzen 7 6800H,32 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",746.16"
"Lenovo,Legion 5 V2.6,AMD Ryzen 7 5800H,64 GB,512 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1318.34"
"Acer,Nitro 5 V26.1,Intel Core i5-11400H,8 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1346.06"
"Acer,Nitro 5 V14.6,Intel Core i5-11400H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1273.38"
"MSI,Katana GF66 V12.6,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1033.06"
"Lenovo,Legion 5 V30.5,AMD Ryzen 7 5800H,8 GB,512 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1289.66"
"Acer,Nitro 5 V49.1,Intel Core i5-11400H,32 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1303.28"
"Acer,Nitro 5 V19.8,Intel Core i5-11400H,8 GB,512 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1208.09"
"ASUS,ROG Strix G15 V50.8,AMD Ryzen 7 6800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",914.25"
"ASUS,ROG Strix G15 V35.5,AMD Ryzen 7 6800H,16 GB,256 GB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",611.0"
"MSI,Katana GF66 V32.1,Intel Core i7-11800H,8 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1228.47"
"Lenovo,Legion 5 V4.4,AMD Ryzen 7 5800H,8 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",699.88"
"MSI,Katana GF66 V40.9,Intel Core i7-11800H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",1041.22"
"ASUS,ROG Strix G15 V19.9,AMD Ryzen 7 6800H,16 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",754.03"
