Brand,Model,Size (inches),Resolution,Refresh Rate (Hz),Panel Type,Connection,Price (USD)
HP,HP Monitor 749,28.3,1920x1080,60,IPS,VGA,382.58
HP,HP Monitor 870,28.8,3840x2160,60,TN,VGA,226.78
LG,LG Monitor 535,21.4,3840x2160,75,VA,HDMI,242.93
BenQ,BenQ Monitor 982,23.8,3840x2160,144,IPS,DisplayPort,343.22
Dell,Dell Monitor 691,27.6,3840x2160,75,TN,USB-C,609.22
HP,HP Monitor 155,29.8,1920x1080,60,VA,VGA,349.34
Asus,Asus Monitor 781,26.9,1920x1080,75,IPS,USB-C,318.69
Samsung,Samsung Monitor 905,31.8,2560x1440,144,IPS,USB-C,180.28
Acer,Acer Monitor 837,33.2,3840x2160,75,IPS,DisplayPort,247.35
LG,LG Monitor 441,24.7,3840x2160,120,IPS,VGA,303.73
Acer,Acer Monitor 990,27.6,1920x1080,120,IPS,USB-C,650.22
Dell,Dell Monitor 105,21.2,2560x1440,60,IPS,USB-C,204.65
BenQ,BenQ Monitor 594,25.4,1920x1080,120,TN,VGA,679.18
Acer,Acer Monitor 953,31.3,3840x2160,144,IPS,DisplayPort,308.15
LG,LG Monitor 869,27.4,2560x1440,60,TN,VGA,689.47
Dell,Dell Monitor 542,23.8,1920x1080,60,TN,VGA,471.36
Asus,Asus Monitor 504,21.9,3840x2160,60,IPS,VGA,361.13
Asus,Asus Monitor 335,24.3,2560x1440,60,TN,DisplayPort,512.38
Samsung,Samsung Monitor 995,25.7,3840x2160,60,VA,DisplayPort,433.56
HP,HP Monitor 633,30.7,2560x1440,75,IPS,VGA,118.51
Dell,Dell Monitor 348,32.1,3840x2160,60,VA,DisplayPort,349.8
BenQ,BenQ Monitor 661,23.7,1920x1080,60,VA,DisplayPort,204.07
LG,LG Monitor 115,25.3,1920x1080,75,VA,HDMI,370.07
HP,HP Monitor 272,31.6,2560x1440,60,VA,USB-C,571.1
Samsung,Samsung Monitor 694,26.7,1920x1080,60,IPS,USB-C,658.47
Samsung,Samsung Monitor 888,21.7,3840x2160,60,TN,VGA,555.42
LG,LG Monitor 298,31.5,1920x1080,60,VA,VGA,248.57
Asus,Asus Monitor 830,33.4,1920x1080,60,TN,DisplayPort,232.25
LG,LG Monitor 968,32.1,2560x1440,60,VA,USB-C,629.72
BenQ,BenQ Monitor 807,30.8,3840x2160,75,TN,DisplayPort,239.07
Asus,Asus Monitor 151,33.3,1920x1080,75,IPS,USB-C,561.99
Dell,Dell Monitor 916,23.8,2560x1440,75,IPS,USB-C,150.72
HP,HP Monitor 389,32.7,2560x1440,144,TN,HDMI,320.94
Asus,Asus Monitor 731,22.9,3840x2160,60,VA,DisplayPort,305.45
Dell,Dell Monitor 575,22.1,1920x1080,144,IPS,USB-C,624.7
Asus,Asus Monitor 514,27.7,3840x2160,60,IPS,VGA,441.24
LG,LG Monitor 168,29.6,3840x2160,144,TN,HDMI,352.48
HP,HP Monitor 391,33.9,3840x2160,120,VA,VGA,189.51
LG,LG Monitor 670,31.9,1920x1080,75,IPS,VGA,495.65
Acer,Acer Monitor 800,25.6,2560x1440,120,TN,HDMI,296.47
Asus,Asus Monitor 480,29.6,3840x2160,144,TN,DisplayPort,390.02
Samsung,Samsung Monitor 222,32.0,3840x2160,75,IPS,DisplayPort,131.68
Asus,Asus Monitor 174,28.3,1920x1080,120,VA,HDMI,679.93
BenQ,BenQ Monitor 327,31.5,2560x1440,120,TN,USB-C,161.74
Asus,Asus Monitor 248,26.6,1920x1080,60,VA,VGA,676.74
Acer,Acer Monitor 938,23.7,2560x1440,120,TN,DisplayPort,508.87
Dell,Dell Monitor 522,28.7,3840x2160,144,VA,USB-C,523.77
Dell,Dell Monitor 886,29.1,1920x1080,75,IPS,DisplayPort,215.59
HP,HP Monitor 163,29.0,2560x1440,144,IPS,HDMI,162.05
HP,HP Monitor 598,33.3,2560x1440,60,TN,USB-C,602.16
Dell,Dell Monitor 285,27.7,2560x1440,120,VA,VGA,522.08
Acer,Acer Monitor 834,22.2,3840x2160,120,IPS,USB-C,243.43
Asus,Asus Monitor 749,30.8,1920x1080,75,VA,VGA,490.45
HP,HP Monitor 700,26.4,2560x1440,120,VA,DisplayPort,283.51
Asus,Asus Monitor 369,25.4,2560x1440,75,TN,VGA,460.96
LG,LG Monitor 971,33.4,3840x2160,144,TN,VGA,381.5
HP,HP Monitor 830,30.5,1920x1080,60,TN,HDMI,232.48
Acer,Acer Monitor 370,27.7,3840x2160,75,IPS,DisplayPort,370.77
Dell,Dell Monitor 166,30.6,3840x2160,120,TN,HDMI,650.98
Acer,Acer Monitor 997,25.3,3840x2160,75,IPS,USB-C,164.03
HP,HP Monitor 169,32.2,2560x1440,60,VA,HDMI,548.57
Dell,Dell Monitor 411,27.8,3840x2160,120,VA,USB-C,380.52
BenQ,BenQ Monitor 769,31.3,1920x1080,144,TN,DisplayPort,337.99
LG,LG Monitor 312,25.3,2560x1440,144,VA,USB-C,672.41
HP,HP Monitor 880,28.7,3840x2160,75,VA,HDMI,372.87
LG,LG Monitor 793,25.0,3840x2160,75,IPS,VGA,578.42
HP,HP Monitor 893,33.3,1920x1080,144,TN,HDMI,537.81
BenQ,BenQ Monitor 105,33.8,2560x1440,120,VA,DisplayPort,356.76
HP,HP Monitor 352,31.7,1920x1080,144,TN,HDMI,547.91
LG,LG Monitor 639,21.4,2560x1440,60,IPS,DisplayPort,604.53
Dell,Dell Monitor 331,27.5,3840x2160,120,IPS,HDMI,425.75
LG,LG Monitor 874,23.9,2560x1440,60,VA,DisplayPort,364.89
HP,HP Monitor 483,32.0,3840x2160,75,TN,USB-C,137.45
Dell,Dell Monitor 694,32.0,3840x2160,120,VA,VGA,584.81
Asus,Asus Monitor 712,24.1,3840x2160,75,IPS,VGA,378.84
HP,HP Monitor 323,30.5,2560x1440,75,VA,USB-C,257.19
BenQ,BenQ Monitor 857,23.9,3840x2160,60,VA,USB-C,371.46
Dell,Dell Monitor 803,21.4,2560x1440,60,IPS,DisplayPort,355.71
LG,LG Monitor 122,24.4,1920x1080,75,VA,HDMI,457.68
HP,HP Monitor 555,30.0,3840x2160,75,IPS,VGA,420.75
Samsung,Samsung Monitor 208,24.6,1920x1080,120,VA,USB-C,307.38
BenQ,BenQ Monitor 993,21.8,2560x1440,120,IPS,DisplayPort,666.79
Dell,Dell Monitor 209,28.4,3840x2160,120,TN,HDMI,247.67
Acer,Acer Monitor 906,31.8,1920x1080,144,IPS,VGA,635.49
HP,HP Monitor 231,30.0,1920x1080,144,IPS,USB-C,269.49
Acer,Acer Monitor 292,22.0,3840x2160,144,TN,VGA,420.31
Samsung,Samsung Monitor 551,23.9,3840x2160,144,TN,DisplayPort,465.04
Dell,Dell Monitor 590,33.5,3840x2160,75,TN,USB-C,387.2
LG,LG Monitor 559,32.8,2560x1440,75,VA,VGA,380.17
HP,HP Monitor 174,25.7,3840x2160,75,IPS,DisplayPort,350.97
Acer,Acer Monitor 429,32.0,2560x1440,60,IPS,HDMI,265.24
Samsung,Samsung Monitor 418,33.1,1920x1080,144,VA,USB-C,163.9
Dell,Dell Monitor 283,28.0,1920x1080,120,IPS,DisplayPort,538.28
Asus,Asus Monitor 266,31.7,2560x1440,75,VA,HDMI,482.45
Dell,Dell Monitor 555,31.5,2560x1440,75,VA,HDMI,508.56
BenQ,BenQ Monitor 740,27.1,3840x2160,144,VA,VGA,379.19
BenQ,BenQ Monitor 765,25.5,1920x1080,60,IPS,VGA,599.35
Dell,Dell Monitor 291,28.1,3840x2160,60,IPS,VGA,303.02
Acer,Acer Monitor 251,28.9,2560x1440,144,VA,DisplayPort,662.36
BenQ,BenQ Monitor 328,30.5,1920x1080,120,TN,HDMI,127.09
Acer,Acer Monitor 545,26.4,2560x1440,60,VA,HDMI,572.85
Dell,Dell Monitor 314,22.5,1920x1080,75,VA,HDMI,490.57
HP,HP Monitor 612,31.4,2560x1440,75,VA,USB-C,302.23
Samsung,Samsung Monitor 609,29.0,2560x1440,75,TN,VGA,627.42
HP,HP Monitor 621,26.4,3840x2160,60,IPS,HDMI,695.19
Asus,Asus Monitor 918,23.3,2560x1440,144,IPS,DisplayPort,616.81
Acer,Acer Monitor 654,31.1,2560x1440,60,IPS,HDMI,463.28
Asus,Asus Monitor 599,29.2,3840x2160,75,IPS,HDMI,270.65
LG,LG Monitor 726,22.0,2560x1440,120,TN,VGA,516.26
HP,HP Monitor 232,31.3,2560x1440,144,IPS,VGA,482.74
Dell,Dell Monitor 607,27.8,2560x1440,120,TN,VGA,381.43
Acer,Acer Monitor 517,33.7,2560x1440,75,IPS,VGA,648.77
Dell,Dell Monitor 788,26.9,1920x1080,120,TN,DisplayPort,626.78
LG,LG Monitor 354,32.9,1920x1080,120,IPS,HDMI,337.82
Samsung,Samsung Monitor 400,21.1,2560x1440,60,VA,HDMI,697.84
Samsung,Samsung Monitor 359,21.8,2560x1440,144,TN,USB-C,345.22
Samsung,Samsung Monitor 358,33.6,1920x1080,120,VA,VGA,246.34
Acer,Acer Monitor 725,32.1,2560x1440,75,TN,USB-C,286.42
Asus,Asus Monitor 575,33.7,3840x2160,60,VA,VGA,552.81
HP,HP Monitor 697,33.5,2560x1440,120,IPS,USB-C,490.09
HP,HP Monitor 679,25.1,2560x1440,60,TN,VGA,571.67
LG,LG Monitor 663,29.8,3840x2160,120,IPS,USB-C,597.37
Samsung,Samsung Monitor 705,29.3,1920x1080,75,VA,USB-C,430.45
Acer,Acer Monitor 308,30.6,2560x1440,120,IPS,HDMI,625.21
Samsung,Samsung Monitor 889,33.6,2560x1440,144,IPS,HDMI,283.53
LG,LG Monitor 624,33.8,1920x1080,120,VA,DisplayPort,470.85
LG,LG Monitor 613,30.8,1920x1080,120,VA,HDMI,519.58
LG,LG Monitor 995,27.0,1920x1080,144,TN,HDMI,307.13
Dell,Dell Monitor 519,24.2,3840x2160,120,IPS,DisplayPort,237.47
Samsung,Samsung Monitor 999,24.7,3840x2160,75,TN,VGA,126.62
LG,LG Monitor 272,26.6,2560x1440,75,VA,DisplayPort,310.86
Asus,Asus Monitor 244,29.5,1920x1080,75,TN,USB-C,419.57
Dell,Dell Monitor 684,21.8,1920x1080,75,IPS,USB-C,279.93
Asus,Asus Monitor 147,30.2,2560x1440,60,VA,HDMI,457.74
Dell,Dell Monitor 430,24.1,2560x1440,60,IPS,DisplayPort,614.68
HP,HP Monitor 830,24.0,3840x2160,75,TN,DisplayPort,317.12
Dell,Dell Monitor 189,33.4,2560x1440,75,IPS,VGA,397.96
Acer,Acer Monitor 238,30.3,3840x2160,144,IPS,USB-C,268.28
Samsung,Samsung Monitor 642,29.8,2560x1440,75,IPS,VGA,664.15
Samsung,Samsung Monitor 829,33.1,1920x1080,75,VA,USB-C,428.1
BenQ,BenQ Monitor 136,31.7,1920x1080,120,VA,HDMI,620.2
