Brand,Model,Device Type,Connection,Control Method,Compatibility,Price (USD)
Philips Hue,Philips Hue Thermostat 933,Thermostat,Wi-Fi,Mobile App,Apple HomeKit,82.03
Google Nest,Google Nest Motion Sensor 495,Motion Sensor,Bluetooth,Manual,Apple HomeKit,192.92
Xiaomi,Xiaomi Thermostat 626,Thermostat,Bluetooth,Voice Assistant,All,155.17
TP-Link,TP-Link Thermostat 733,Thermostat,Wi-Fi,Voice Assistant,Apple HomeKit,124.81
Xiaomi,Xiaomi Smart Bulb 916,Smart Bulb,Wi-Fi,Mobile App,Google Assistant,57.24
Philips Hue,Philips Hue Camera 991,Camera,Zigbee,Mobile App,Alexa,144.25
Google Nest,Google Nest Smart Bulb 410,Smart Bulb,Bluetooth,Manual,Apple HomeKit,166.04
TP-Link,TP-Link Thermostat 110,Thermostat,Wi-Fi,Manual,Google Assistant,32.05
Philips Hue,Philips Hue Smart Plug 962,Smart Plug,Zigbee,Manual,Apple HomeKit,63.71
Google Nest,Google Nest Smart Bulb 363,Smart Bulb,Zigbee,Manual,All,103.32
Amazon,Amazon Smart Bulb 855,Smart Bulb,Zigbee,Voice Assistant,Alexa,167.7
TP-Link,TP-Link Smart Bulb 123,Smart Bulb,Bluetooth,Mobile App,All,180.33
Xiaomi,Xiaomi Thermostat 372,Thermostat,Bluetooth,Voice Assistant,Apple HomeKit,18.09
Google Nest,Google Nest Smart Bulb 757,Smart Bulb,Bluetooth,Mobile App,Alexa,20.29
Philips Hue,Philips Hue Smart Bulb 515,Smart Bulb,Bluetooth,Voice Assistant,Google Assistant,177.05
Xiaomi,Xiaomi Smart Bulb 392,Smart Bulb,Zigbee,Mobile App,Alexa,187.34
TP-Link,TP-Link Thermostat 200,Thermostat,Zigbee,Voice Assistant,Apple HomeKit,118.36
Xiaomi,Xiaomi Smart Plug 938,Smart Plug,Wi-Fi,Manual,Google Assistant,199.5
TP-Link,TP-Link Motion Sensor 961,Motion Sensor,Zigbee,Voice Assistant,All,187.99
Amazon,Amazon Camera 547,Camera,Zigbee,Manual,All,32.5
TP-Link,TP-Link Motion Sensor 812,Motion Sensor,Bluetooth,Manual,Google Assistant,191.73
Xiaomi,Xiaomi Smart Bulb 135,Smart Bulb,Wi-Fi,Mobile App,Google Assistant,39.81
Xiaomi,Xiaomi Smart Plug 637,Smart Plug,Bluetooth,Voice Assistant,Apple HomeKit,199.74
Amazon,Amazon Motion Sensor 411,Motion Sensor,Wi-Fi,Voice Assistant,All,60.68
Philips Hue,Philips Hue Motion Sensor 417,Motion Sensor,Zigbee,Voice Assistant,Google Assistant,101.66
TP-Link,TP-Link Motion Sensor 911,Motion Sensor,Bluetooth,Manual,Google Assistant,149.4
Google Nest,Google Nest Smart Plug 719,Smart Plug,Zigbee,Mobile App,Google Assistant,19.15
Google Nest,Google Nest Smart Plug 836,Smart Plug,Zigbee,Manual,All,185.79
Xiaomi,Xiaomi Smart Bulb 918,Smart Bulb,Zigbee,Voice Assistant,Google Assistant,68.6
Philips Hue,Philips Hue Smart Bulb 574,Smart Bulb,Bluetooth,Manual,Alexa,26.6
Amazon,Amazon Motion Sensor 989,Motion Sensor,Wi-Fi,Mobile App,Apple HomeKit,88.42
Google Nest,Google Nest Camera 206,Camera,Zigbee,Manual,Alexa,34.78
Amazon,Amazon Motion Sensor 462,Motion Sensor,Wi-Fi,Mobile App,Alexa,70.99
Xiaomi,Xiaomi Motion Sensor 563,Motion Sensor,Bluetooth,Mobile App,All,105.94
Xiaomi,Xiaomi Smart Plug 826,Smart Plug,Wi-Fi,Manual,Google Assistant,140.69
Xiaomi,Xiaomi Camera 308,Camera,Bluetooth,Mobile App,All,140.07
Google Nest,Google Nest Motion Sensor 163,Motion Sensor,Bluetooth,Mobile App,Alexa,173.62
TP-Link,TP-Link Thermostat 541,Thermostat,Wi-Fi,Voice Assistant,Apple HomeKit,23.35
Google Nest,Google Nest Smart Bulb 232,Smart Bulb,Wi-Fi,Manual,Apple HomeKit,140.3
TP-Link,TP-Link Motion Sensor 298,Motion Sensor,Zigbee,Voice Assistant,Apple HomeKit,78.09
Google Nest,Google Nest Camera 838,Camera,Wi-Fi,Voice Assistant,Apple HomeKit,117.69
Xiaomi,Xiaomi Smart Plug 747,Smart Plug,Wi-Fi,Manual,Apple HomeKit,98.0
Google Nest,Google Nest Camera 717,Camera,Wi-Fi,Manual,Google Assistant,54.17
Xiaomi,Xiaomi Camera 456,Camera,Bluetooth,Mobile App,All,42.1
Google Nest,Google Nest Camera 999,Camera,Wi-Fi,Mobile App,Alexa,63.19
TP-Link,TP-Link Smart Bulb 894,Smart Bulb,Wi-Fi,Voice Assistant,Apple HomeKit,86.97
Philips Hue,Philips Hue Camera 651,Camera,Zigbee,Manual,Alexa,75.29
Google Nest,Google Nest Smart Bulb 995,Smart Bulb,Bluetooth,Manual,Google Assistant,191.47
Google Nest,Google Nest Thermostat 612,Thermostat,Wi-Fi,Mobile App,Alexa,196.03
Amazon,Amazon Motion Sensor 580,Motion Sensor,Zigbee,Voice Assistant,Alexa,199.15
TP-Link,TP-Link Thermostat 542,Thermostat,Wi-Fi,Manual,Google Assistant,70.22
Xiaomi,Xiaomi Smart Plug 983,Smart Plug,Wi-Fi,Mobile App,All,87.52
Philips Hue,Philips Hue Motion Sensor 823,Motion Sensor,Zigbee,Voice Assistant,Apple HomeKit,116.29
TP-Link,TP-Link Motion Sensor 160,Motion Sensor,Zigbee,Manual,Google Assistant,97.82
Amazon,Amazon Camera 832,Camera,Wi-Fi,Voice Assistant,Google Assistant,176.52
TP-Link,TP-Link Smart Bulb 173,Smart Bulb,Zigbee,Voice Assistant,All,52.12
Amazon,Amazon Thermostat 266,Thermostat,Wi-Fi,Manual,Alexa,199.98
Amazon,Amazon Smart Bulb 629,Smart Bulb,Wi-Fi,Manual,All,112.64
TP-Link,TP-Link Thermostat 750,Thermostat,Bluetooth,Voice Assistant,Apple HomeKit,53.85
Amazon,Amazon Smart Plug 493,Smart Plug,Wi-Fi,Mobile App,All,48.78
Philips Hue,Philips Hue Smart Plug 248,Smart Plug,Wi-Fi,Manual,Apple HomeKit,167.7
Amazon,Amazon Motion Sensor 536,Motion Sensor,Wi-Fi,Voice Assistant,Apple HomeKit,162.7
Google Nest,Google Nest Smart Bulb 910,Smart Bulb,Bluetooth,Manual,Alexa,23.07
TP-Link,TP-Link Motion Sensor 267,Motion Sensor,Bluetooth,Mobile App,Alexa,133.11
Xiaomi,Xiaomi Smart Bulb 798,Smart Bulb,Wi-Fi,Mobile App,Alexa,50.02
Google Nest,Google Nest Thermostat 221,Thermostat,Bluetooth,Manual,Apple HomeKit,180.64
Google Nest,Google Nest Thermostat 806,Thermostat,Zigbee,Manual,All,74.84
TP-Link,TP-Link Motion Sensor 697,Motion Sensor,Wi-Fi,Manual,Apple HomeKit,49.26
Philips Hue,Philips Hue Motion Sensor 624,Motion Sensor,Wi-Fi,Mobile App,All,44.62
Amazon,Amazon Thermostat 584,Thermostat,Bluetooth,Manual,Alexa,194.32
Xiaomi,Xiaomi Smart Plug 751,Smart Plug,Bluetooth,Voice Assistant,Apple HomeKit,69.73
Philips Hue,Philips Hue Smart Plug 636,Smart Plug,Bluetooth,Manual,Google Assistant,172.19
Amazon,Amazon Smart Bulb 699,Smart Bulb,Bluetooth,Manual,Google Assistant,171.88
Xiaomi,Xiaomi Smart Bulb 246,Smart Bulb,Bluetooth,Voice Assistant,All,20.77
Xiaomi,Xiaomi Camera 776,Camera,Bluetooth,Manual,Alexa,130.96
Amazon,Amazon Smart Plug 796,Smart Plug,Wi-Fi,Manual,Alexa,106.63
TP-Link,TP-Link Thermostat 892,Thermostat,Zigbee,Manual,Google Assistant,20.72
Google Nest,Google Nest Smart Bulb 868,Smart Bulb,Bluetooth,Mobile App,Apple HomeKit,50.3
Xiaomi,Xiaomi Smart Plug 578,Smart Plug,Zigbee,Manual,Alexa,95.02
Xiaomi,Xiaomi Camera 526,Camera,Zigbee,Manual,Apple HomeKit,105.59
Philips Hue,Philips Hue Motion Sensor 900,Motion Sensor,Zigbee,Manual,Alexa,80.05
Amazon,Amazon Camera 473,Camera,Wi-Fi,Voice Assistant,Apple HomeKit,83.49
TP-Link,TP-Link Smart Bulb 937,Smart Bulb,Wi-Fi,Voice Assistant,Google Assistant,151.82
Amazon,Amazon Thermostat 174,Thermostat,Bluetooth,Manual,Google Assistant,102.41
Google Nest,Google Nest Motion Sensor 851,Motion Sensor,Bluetooth,Voice Assistant,Google Assistant,191.41
Philips Hue,Philips Hue Camera 345,Camera,Zigbee,Mobile App,Alexa,32.6
Google Nest,Google Nest Camera 663,Camera,Bluetooth,Mobile App,Apple HomeKit,36.18
Amazon,Amazon Smart Plug 846,Smart Plug,Bluetooth,Manual,All,165.75
Philips Hue,Philips Hue Motion Sensor 529,Motion Sensor,Bluetooth,Manual,All,83.2
Google Nest,Google Nest Smart Bulb 431,Smart Bulb,Zigbee,Voice Assistant,Apple HomeKit,126.92
Amazon,Amazon Motion Sensor 614,Motion Sensor,Zigbee,Mobile App,Google Assistant,130.74
TP-Link,TP-Link Camera 127,Camera,Wi-Fi,Mobile App,Alexa,17.18
Philips Hue,Philips Hue Smart Plug 984,Smart Plug,Wi-Fi,Voice Assistant,All,69.44
Amazon,Amazon Camera 980,Camera,Wi-Fi,Mobile App,All,96.79
Google Nest,Google Nest Smart Plug 858,Smart Plug,Bluetooth,Manual,Google Assistant,83.31
Xiaomi,Xiaomi Smart Plug 792,Smart Plug,Bluetooth,Voice Assistant,Alexa,93.62
TP-Link,TP-Link Smart Bulb 258,Smart Bulb,Zigbee,Manual,Apple HomeKit,179.18
Xiaomi,Xiaomi Thermostat 676,Thermostat,Zigbee,Manual,Apple HomeKit,102.14
